elapsed_s,gpu_uuid,clocks.sm,clocks.mem,temperature.gpu,power.draw,utilization.gpu
920.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2235,10251,76,448.75,99
925.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,450.00,99
930.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.05,99
935.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.14,99
940.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2235,10251,76,449.97,99
945.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2220,10251,76,449.05,99
950.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.07,99
955.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.00,99
960.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,450.38,99
965.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,450.13,99
970.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,450.01,99
975.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.26,99
980.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,450.11,99
985.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.35,100
990.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.30,99
995.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.12,100
1000.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.46,100
1005.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,448.97,100
1010.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.88,100
1015.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.39,100
1020.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,450.20,99
1025.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,448.83,100
1030.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,448.95,100
1035.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.57,100
1040.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2175,10251,75,449.57,100
1045.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,448.98,100
1050.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.79,100
1055.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.66,100
1060.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2175,10251,75,450.70,100
1065.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.57,100
1070.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2175,10251,76,449.75,100
1075.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.75,100
1080.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.67,100
1085.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.53,100
1090.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.49,100
1095.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.58,100
1100.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.46,100
1105.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,448.93,100
1110.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.08,100
1115.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.46,100
1120.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.35,100
1125.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.43,100
1130.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.58,100
1135.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.39,100
1140.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.25,100
1145.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,448.28,100
1150.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.56,100
1155.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.42,100
1160.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.35,100
1165.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2175,10251,76,449.35,100
1170.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.11,100
1175.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.48,100
1180.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.50,100
1185.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.28,100
1190.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.04,100
1195.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.29,100
